WKT,name,description
"POINT (-5.3261934 35.8921782)",Point 144,
"POINT (-5.3298211 35.8934384)",Point 145,
"POINT (-5.3298962 35.8936014)",Point 146,
"POINT (-5.330025 35.8935036)",Point 147,
"POINT (-5.3313875 35.8938382)",Point 148,
"POINT (-5.3329486 35.8933928)",Point 149,
"POINT (-5.3348288 35.8932298)",Point 150,
"POINT (-5.3454021 35.9014647)",Point 151,
"POINT (-5.3224502 35.8860642)",Point 152,
"POINT (-5.3209535 35.887581)",Point 153,
"POINT (-5.3245861 35.8901635)",Point 154,
"POINT (-5.3273488 35.8882816)",Point 155,
"POINT (-5.3289098 35.8857478)",Point 156,
"POINT (-5.3310985 35.8849829)",Point 157,
"POINT (-5.3325898 35.8850524)",Point 158,
"POINT (-5.3389949 35.8849134)",Point 159,
"POINT (-5.3434715 35.8851828)",Point 160,
"POINT (-5.3462798 35.8820622)",Point 161,
"POINT (-5.3482647 35.8816275)",Point 162,
"POINT (-5.3474922 35.8799585)",Point 163,
"POINT (-5.3426642 35.8815493)",Point 164,
"POINT (-5.343147 35.8810712)",Point 165,
"POINT (-5.3432436 35.8798977)",Point 166,
"POINT (-5.3412158 35.8793761)",Point 167,
"POINT (-5.3441126 35.8814363)",Point 168,
"POINT (-5.3447885 35.8818101)",Point 169,
"POINT (-5.3448851 35.8814711)",Point 170,
"POINT (-5.3443057 35.8813407)",Point 171,
"POINT (-5.3477094 35.8816993)",Point 172,
"POINT (-5.3477041 35.8818036)",Point 173,
"POINT (-5.3478462 35.8817645)",Point 174,
"POINT (-5.3269827 35.8956209)",Point 175,
"POINT (-5.3271276 35.8957035)",Point 176,
"POINT (-5.3273529 35.8956122)",Point 177,
"POINT (-5.3273207 35.8955079)",Point 178,
"POINT (-5.3271651 35.8954123)",Point 179,
"POINT (-5.3270846 35.8931699)",Point 180,
"POINT (-5.3276051 35.8839544)",Point 181,
"POINT (-5.3404836 35.8809378)",Point 182,
"POINT (-5.3407491 35.8810063)",Point 183,
"POINT (-5.340666 35.880877)",Point 184,
"POINT (-5.3181572 35.8897648)",Point 185,
"POINT (-5.3180438 35.8899636)",Point 186,
"POINT (-5.319122 35.8899863)",Point 187,
"POINT (-5.3203507 35.8888264)",Point 188,
"POINT (-5.3130205 35.8883312)",Point 189,
"POINT (-5.3278481 35.8863334)",Point 190,
"POINT (-5.3265231 35.8851339)",Point 191,
"POINT (-5.3260295 35.8851382)",Point 192,
"POINT (-5.3263691 35.8922269)",Point 193,
"POINT (-5.3298962 35.8933623)",Point 194,
"POINT (-5.3299465 35.8852901)",Point 195,
"POINT (-5.3304602 35.8850815)",Point 196,
"POINT (-5.3301235 35.8850913)",Point 197,
"POINT (-5.3280308 35.8866079)",Point 198,
"POINT (-5.3282293 35.8863428)",Point 199,
"POINT (-5.343485 35.8852094)",Point 201,
"POINT (-5.3434434 35.8852018)",Point 203,
"POINT (-5.3123831 35.8883567)",Point 204,
"POINT (-5.302084 35.8923427)",Point 205,
"POINT (-5.3029423 35.8918777)",Point 206,
